unix_time,pm2.5,Car,Motor
2022-04-20 15:00:00,27.950819672131146,125,121
2022-04-20 15:10:00,25.033333333333335,85,138
2022-04-20 15:20:00,22.593220338983052,125,149
2022-04-20 15:30:00,23.4,104,85
2022-04-20 15:40:00,26.098360655737704,103,131
2022-04-20 15:50:00,25.050847457627118,83,131
2022-04-20 16:00:00,30.327868852459016,108,125
2022-04-20 16:10:00,29.45762711864407,77,193
2022-04-20 16:20:00,26.216666666666665,66,152
2022-04-20 16:30:00,23.3,78,134
2022-04-20 16:40:00,30.283333333333335,86,175
2022-04-20 16:50:00,42.666666666666664,101,222
